ID,Tag,Group
SRR062736,0,SRR062736
SRR062725,0,SRR062725
SRR062843,1,SRR062843
SRR063047,0,SRR063047
SRR062731,1,SRR062731
SRR062967,0,SRR062967
SRR062814,1,SRR062814
SRR062998,0,SRR062998
SRR062873,1,SRR062873
SRR062817,1,SRR062817
SRR062765,0,SRR062765
SRR063006,0,SRR063006
SRR062860,0,SRR062860
SRR062799,1,SRR062799
SRR062861,0,SRR062861
SRR062794,0,SRR062794
SRR062939,0,SRR062939
SRR062994,1,SRR062994
SRR062961,0,SRR062961
SRR062809,0,SRR062809
SRR063038,0,SRR063038
SRR062702,0,SRR062702
SRR063035,1,SRR063035
SRR062673,0,SRR062673
SRR062705,0,SRR062705
SRR062975,0,SRR062975
SRR062716,1,SRR062716
SRR062941,1,SRR062941
SRR062836,0,SRR062836
SRR062963,0,SRR062963
SRR063037,0,SRR063037
SRR062858,1,SRR062858
SRR063031,0,SRR063031
SRR062856,1,SRR062856
SRR062864,0,SRR062864
SRR062709,0,SRR062709
SRR062840,0,SRR062840
SRR062862,0,SRR062862
SRR063034,0,SRR063034
SRR062760,0,SRR062760
SRR062912,0,SRR062912
SRR062835,0,SRR062835
SRR062793,1,SRR062793
SRR063011,0,SRR063011
SRR063022,0,SRR063022
SRR062885,0,SRR062885
SRR062803,0,SRR062803
SRR063032,0,SRR063032
SRR062954,0,SRR062954
SRR062871,0,SRR062871
SRR062946,0,SRR062946
SRR063001,1,SRR063001
SRR062906,0,SRR062906
SRR062821,1,SRR062821
SRR063054,1,SRR063054
SRR062830,0,SRR062830
SRR062914,1,SRR062914
SRR062801,0,SRR062801
SRR062964,1,SRR062964
SRR062710,0,SRR062710
SRR063015,0,SRR063015
SRR062761,0,SRR062761
SRR062916,0,SRR062916
SRR062758,0,SRR062758
SRR062834,0,SRR062834
SRR062680,0,SRR062680
SRR063036,0,SRR063036
SRR062802,0,SRR062802
SRR062838,0,SRR062838
SRR062682,0,SRR062682
SRR062767,0,SRR062767
SRR062842,0,SRR062842
SRR062784,1,SRR062784
SRR062984,0,SRR062984
SRR062911,0,SRR062911
SRR062826,0,SRR062826
SRR062717,1,SRR062717
SRR062720,1,SRR062720
SRR062755,1,SRR062755
SRR062853,0,SRR062853
SRR062796,0,SRR062796
SRR062959,0,SRR062959
SRR062734,0,SRR062734
SRR062694,1,SRR062694
SRR062741,1,SRR062741
SRR062812,0,SRR062812
SRR062729,0,SRR062729
SRR062827,0,SRR062827
SRR062908,0,SRR062908
SRR062828,1,SRR062828
SRR062832,0,SRR062832
SRR062846,1,SRR062846
SRR062993,0,SRR062993
SRR063044,0,SRR063044
SRR062823,0,SRR062823
SRR062811,1,SRR062811
SRR062974,0,SRR062974
SRR062884,0,SRR062884
SRR062889,0,SRR062889
SRR062776,0,SRR062776
SRR062969,0,SRR062969
SRR062727,0,SRR062727
SRR062890,0,SRR062890
SRR062892,0,SRR062892
SRR063064,0,SRR063064
SRR062970,0,SRR062970
SRR062875,0,SRR062875
SRR062746,0,SRR062746
SRR062735,0,SRR062735
SRR062898,0,SRR062898
SRR062728,0,SRR062728
SRR062881,0,SRR062881
SRR062903,0,SRR062903
SRR062894,0,SRR062894
SRR063028,0,SRR063028
SRR062825,1,SRR062825
SRR063007,0,SRR063007
